公告,#genre#
更新日期,http://159.75.85.63:35455/huya/11282233
2026-01-17,http://159.75.85.63:35455/huya/11342387
📡  央视频道,#genre#
CCTV1,http://60.176.87.174:8888/rtp/233.50.201.118:5140$LR•IPV4『线路1』
CCTV1,http://114.238.59.115:4000/rtp/239.49.8.19:9614$LR•IPV4『线路2』
CCTV1,http://113.66.40.167:10000/rtp/239.77.0.86:5146$LR•IPV4『线路3』
CCTV1,http://112.66.99.188:8888/rtp/239.253.64.120:5140$LR•IPV4『线路4』
CCTV1,http://119.135.192.194:10000/rtp/239.77.0.86:5146$LR•IPV4『线路5』
CCTV1,http://183.30.201.5:10002/rtp/239.77.0.86:5146$LR•IPV4『线路6』
CCTV1,http://115.171.216.84:4000/rtp/225.1.8.1:8008$LR•IPV4『线路7』
CCTV1,http://113.17.153.30:8001/rtp/239.81.0.102:4056$LR•IPV4『线路8』
CCTV1,http://222.95.12.2:4022/rtp/239.49.8.19:9614$LR•IPV4『线路9』
CCTV1,http://115.45.243.189:8888/rtp/239.77.0.86:5146$LR•IPV4『线路10』
CCTV1,http://220.190.84.171:8888/rtp/233.50.201.118:5140$LR•IPV4『线路11』
CCTV1,http://183.30.202.6:8000/rtp/239.77.0.86:5146$LR•IPV4『线路12』
CCTV1,http://180.111.29.214:8888/rtp/239.49.8.19:9614$LR•IPV4『线路13』
CCTV1,http://180.127.133.148:4000/rtp/239.49.8.19:9614$LR•IPV4『线路14』
CCTV1,http://112.226.103.48:4000/rtp/239.253.254.77:8000$LR•IPV4『线路15』
CCTV1,http://39.77.22.208:4001/rtp/239.253.254.77:8000$LR•IPV4『线路16』
CCTV1,http://223.93.142.35:4022/rtp/233.50.201.118:5140$LR•IPV4『线路17』
CCTV1,http://171.119.207.208:6000/rtp/226.0.2.153:9136$LR•IPV4『线路18』
CCTV1,http://220.176.218.76:9000/rtp/239.252.219.200:5140$LR•IPV4『线路19』
CCTV1,http://59.34.28.21:4022/rtp/239.77.0.86:5146$LR•IPV4『线路20』
CCTV1,http://116.9.34.165:4000/rtp/239.81.0.102:4056$LR•IPV4『线路21』
CCTV1,http://180.114.117.42:8333/rtp/239.49.8.19:9614$LR•IPV4『线路22』
CCTV1,http://121.226.92.73:4022/rtp/239.49.8.19:9614$LR•IPV4『线路23』
CCTV1,http://114.228.33.206:8095/rtp/239.49.8.19:9614$LR•IPV4『线路24』
CCTV1,http://115.220.140.122:8888/rtp/233.50.201.118:5140$LR•IPV4『线路25』
CCTV1,http://183.184.43.254:8001/rtp/226.0.2.153:9136$LR•IPV4『线路26』
CCTV1,http://221.222.79.96:9999/rtp/239.3.1.129:8008$LR•IPV4『线路27』
CCTV1,http://171.117.109.106:89/rtp/226.0.2.153:9136$LR•IPV4『线路28』
CCTV1,http://125.113.56.15:8001/rtp/233.50.201.118:5140$LR•IPV4『线路29』
CCTV1,http://123.120.7.139:4022/rtp/239.3.1.129:8008$LR•IPV4『线路30』
CCTV1,http://182.123.209.199:12345/rtp/225.1.4.73:1102$LR•IPV4『线路31』
CCTV1,http://221.232.41.227:8888/rtp/239.254.96.96:8550$LR•IPV4『线路32』
CCTV1,http://114.248.6.123:8888/rtp/239.3.1.129:8008$LR•IPV4『线路33』
CCTV1,http://117.86.48.47:7777/rtp/239.49.8.19:9614$LR•IPV4『线路34』
CCTV1,http://183.164.237.101:8888/rtp/238.1.78.166:7200$LR•IPV4『线路35』
CCTV2,http://60.176.87.174:8888/rtp/233.50.201.119:5140$LR•IPV4『线路1』
CCTV2,http://114.238.59.115:4000/rtp/239.49.8.50:9802$LR•IPV4『线路2』
CCTV2,http://113.66.40.167:10000/rtp/239.77.0.137:5146$LR•IPV4『线路3』
CCTV2,http://112.66.99.188:8888/rtp/239.253.64.195:5140$LR•IPV4『线路4』
CCTV2,http://119.135.192.194:10000/rtp/239.77.0.137:5146$LR•IPV4『线路5』
CCTV2,http://183.30.201.5:10002/rtp/239.77.0.137:5146$LR•IPV4『线路6』
CCTV2,http://115.171.216.84:4000/rtp/225.1.8.2:8084$LR•IPV4『线路7』
CCTV2,http://113.17.153.30:8001/rtp/239.81.0.115:4056$LR•IPV4『线路8』
